SITC 5 DIGIT,5D DESC
01720,"MEAT AND EDIBLE MEAT OFFAL; SAUSAGES AND SIMILAR PRODUCTS OF MEAT, MEAT OFFALS OR BLOOD; FOOD PREPARATIONS BASED ON THESE PRODUCTS"
01730,"MEAT AND EDIBLE MEAT OFFAL; LIVER OF ANY ANIMAL, PREPARED OR PRESERVED"
01740,"MEAT AND OFFAL (OTHER THAN LIVER; OF POULTRY OF SUBGROUP 001.4, PREPARED OR PRESERVED"
01750,"MEAT AND OFFAL (OTHER THAN LIVER); OF SWINE, PREPARED OR PRESERVED"
01760,"MEAT AND OFFAL (OTHER THAN LIVER); OF BOVINE ANIMALS, PREPARED OR PRESERVED"
01790,"MEAT OR MEAT OFFAL (INCL. PREPARATIONS OF BLOOD OF ANY ANIMALS); N.E.S IN GROUP 016 AND 017, PREPARED OR PRESERVED"
02211,"MILK (INCLUDING SKINNED MILK); NOT CONCENTRATED OR SWEETENED, OF A FAT CONTENT, BY WEIGHT, NOT EXCEEDING 1%"
02212,"MILK (INCLUDING SKINNED MILK) AND CREAM; NOT CONCENTRATED OR SWEETENED, OF A FAT CONTENT, BY WEIGHT, EXCEEDING 1% BUT NOT EXCEEDING 6%"
02213,"CREAM; NOT CONCENTRATED OR SWEETENEDOF A FAT CONTENT, BY WEIGHT, EXCEEDING 6%"
02221,"MILK; CONCENTRATED OR SWEETENED, IN SOLID FORM, OF A FAT CONTENT, BY WEIGHT, NOT EXCEEDING 1.5%"
02222,"MILK AND CREAM; CONCENTRATED OR SWEETENED, IN SOLID FORM, OF A FAT CONTENT, BY WEIGHT, EXCEEDING 1.5%"
02223,"MILK AND CREAM; CONCENTRATED OR SWEETENED, NOT IN SOLID FORM, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
02224,"MILK AND CREAM; CONCENTRATED OR SWEETENED, NOT IN SOLID FORM, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
02231,"YOGURT; WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED OR CONTAINING ADDED FRUITS, NUTS OR COCOA"
02232,"BUTTERMILK, CURDLED MILK AND CREAM, KEPHIR AND OTHER FERMENTED OR ACIDIFIED MILK OR CREAM, WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED OR CONTAINING ADDED FRUITS, NUTS OR COCOA"
02233,"ICE-CREAM AND OTHER EDIBLE ICE, WHETHER OR NOT CONTAINING COCOA"
02241,"WHEY AND MODIFIED WHEY, WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
02249,"PRODUCTS CONSISTING OF NATURAL MILK CONSTITUENTS, N.E.S."
02300,BUTTER AND OTHER FATS AND OILS; DERIVED FROM MILK
02410,"CHEESE; GRATED OR POWDERED , OF ALL KINDS"
02420,"CHEESE; NOT GRATED OR POWDERED, PROCESSED"
02491,"CHEESE; FRESH (UNRIPENED OR UNCURED), INCLUDING WHEY CHEESE, AND CURD"
02499,CHEESE; N.E.S IN SITC 024.10 TO 024.91
02510,"BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED"
02511,"BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED, OF FOWLS OF THE SPECIES GALLUS DOMESTICUS"
02517,"BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED, OF DUCK"
02521,"BIRDS' EGGS; NOT IN SHELL AND EGG YOLKS, DRIED"
02522,"BIRDS' EGGS; NOT IN SHELL AND EGG YOLKS, OTHER THAN DRIED"
02530,EGG ALBUMIN
03411,FISH; LIVE
03412,"FISH; SALMONIDAE, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03413,"FISH; FLAT-FISH, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03414,"FISH; TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03415,"FISH; HERRINGS, SARDINES, SARDINELLA, BRISLINGS OR SPRATS, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03416,"FISH; COD, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03417,"MACKEREL (SCOMBRIDS), FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03418,"FISH; N.E.S IN SUBGROUP 034.1, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)"
03419,"FISH; LIVERS AND ROES, FRESH OR CHILLED"
03421,"FISH; SALMONIDAE, FROZEN (EXCLUDING LIVERS AND ROES)"
03422,"FISH; FLAT-FISH, FROZEN (EXCLUDING LIVERS AND ROES)"
03423,"FISH; TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO, FROZEN (EXCLUDING LIVERS AND ROES)"
03424,"FISH; HERRINGS, SARDINES, SARDINELLA, BRISLINGS OR SPRATS, FROZEN (EXCLUDING LIVERS AND ROES)"
03425,"FISH; COD, FROZEN (EXCLUDING LIVERS AND ROES)"
03426,"MACKEREL (SCOMBRIDS), FROZEN (EXCLUDING LIVERS AND ROES)"
03427,"HAKE, FROZEN (EXCLUDING LIVERS AND ROES)"
03428,"FISH; N.E.S IN SUBGROUP 034.2, FROZEN (EXCLUDING LIVERS AND ROES)"
03429,"FISH; LIVERS AND ROES, FROZEN"
03440,"FISH; FILLETS, FROZEN"
03451,"FISH FILLETS AND OTHER FISH MEAT, FRESH OR CHILLED"
03455,"FISH; MEAT (OTHER THAN FILLETS), FROZEN"
03511,"FISH; COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), NOT IN FILLETS, DRIED, WHETHER OR NOT SALTED"
03512,"FISH; FILLETS, DRIED, SALTED OR IN BRINE"
03513,"FISH; DRIED, WHETHER OR NOT SALTED, N.E.S."
03522,"FISH; ANCHOVIES, SALTED BUT NOT DRIED OR SMOKED AND IN BRINE"
03529,"FISH; N.E.S. IN SUBGROUP 035.2, SALTED BUT NOT DRIED OR SMOKED AND IN BRINE"
03530,"FISH (INCLUDING FILLETS); SMOKED, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS"
03540,"FISH; DRIED, SMOKED, SALTED OR IN BRINE, LIVER AND ROES"
03550,"FISH; MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION"
03611,"SHRIMPS AND PRAWNS, FROZEN"
03619,"CRUSTACEANS; OTHER THAN SHRIMPS AND PRAWNS, FROZEN, INCLUDING FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION"
03620,"CRUSTACEANS; OTHER THAN FROZEN, INCLUDING FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION"
03621,"CRUSTACEANS, OTHER THAN FROZEN, INCLUDING FLOURS, MEALS AND PELLETS OF CRUSTACEANS, FIT FOR HUMAN CONSUMPTION, ROCK LOBSTER AND OTHER SEA CRAWFISH (PALINURUS SPP., PANULIRUS SPP., JASUS SPP.)"
03626,"CRUSTACEANS, OTHER THAN FROZEN, INCLUDING FLOURS, MEALS AND PELLETS OF CRUSTACEANS, FIT FOR HUMAN CONSUMPTION, COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON)"
03629,"CRUSTACEANS, OTHER THAN FROZEN, INCLUDING FLOURS, MEALS AND PELLETS OF CRUSTACEANS, FIT FOR HUMAN CONSUMPTION, OTHER THAN ROCK LOBSTER,LOBSTER AND COLD-WATER SHRIMP AND PRAWN"
03631,"OYSTERS; FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE"
03633,"CUTTLEFISH, OCTOPUS AND SQUID, FRESH OR CHILLED"
03635,"MOLLUSCS AND AQUATIC INVERTEBRATES; N.E.S IN SUBGROUP 036.3, FRESH OR CHILLED"
03637,"CUTTLEFISH, OCTOPUS AND SQUID; FROZEN, DRIED, SALTED OR IN BRINE; FLOURS, MEALS AND PELLETS THEREOF, FIT FOR HUMAN CONSUMPTION"
03639,"MOLLUSCS AND AQUATIC INVERTEBRATES; N.E.S IN SUBGROUP 036.3, FROZEN, DRIED, SALTED OR IN BRINE, INCLUDING FLOURS, MEALS, FIT FOR HUMAN CONSUMPTION"
03711,"FISH; SALMON, WHOLE OR IN PIECES, BUT NOT MINCED"
03712,"FISH; HERRINGS, SARDINES, SARDINELLA AND BRISLINGS OR SPRATS, WHOLE OR IN PIECES, BUT NOT MINCED"
03713,"FISH; TUNAS, SKIPJACK AND ATLANTIC BONITO (SARDA SPP.), WHOLE OR IN PIECES, BUT NOT MINCED"
03714,"FISH; MACKEREL, WHOLE OR IN PIECES, BUT NOT MINCED"
03715,"FISH; N.E.S IN SUBGROUP 037.1, WHOLE OR IN PIECES, BUT NOT MINCED"
03716,"FISH; N.E.S IN SUBGROUP 037.1, PREPARED OR PRESERVED, N.E.S."
03717,CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS
03721,"CRUSTACEANS; PREPARED OR PRESERVED, N.E.S."
03722,"MOLLUSCS AND OTHER AQUATIC INVERTEBRATES; PREPARED OR PRESERVED, N.E.S."
04110,"WHEAT; DURUM , UNMILLED"
04120,"WHEAT; OTHER THAN DURUM, INCLUDING SPELT AND MESLIN, UNMILLED"
04210,"RICE; IN THE HUSK, (PADDY OR ROUGH RICE)"
04220,"RICE; HUSKED, BUT NOT FURTHER PREPARED, (CARGO RICE OR BROWN RICE)"
04231,"RICE; SEMI-MILLED OR WHOLLY MILLED, WHETHER OR NOT POLISHED, GLAZED, PARBOILED OR CONVERTED (EXCLUDING BROKEN RICE)"
04232,BROKEN RICE
04300,BARLEY; UNMILLED
04410,"MAIZE; NOT INCLUDING SWEET CORN, UNMILLED, SEED"
04490,"MAIZE; NOT INCLUDING SWEET CORN, UNMILLED, OTHER THAN SEED"
04520,"CEREALS; OATS, UNMILLED"
04530,"CEREALS; GRAIN SORGHUM, UNMILLED"
04591,"CEREALS; MILLET, UNMILLED"
04592,"CEREALS; BUCKWHEAT, UNMILLED"
04593,"CEREALS; CANARY SEED, UNMILLED"
04599,"CEREALS; N.E.S IN DIVISION 04, UNMILLED"
04610,FLOUR; OF WHEAT OR OF MESLIN
04620,GROATS AND MEAL; OF WHEAT
04711,CEREALS; MAIZE (CORN) FLOUR
04719,"CEREAL FLOURS; OTHERT THAN MAIZE FLOUR, OTHER THAN OF WHEAT OR MESLIN"
04721,"CERAELS; GROATS AND MEAL, OF MAIZE (CORN)"
04722,"CEREALS; GROATS AND MEAL OF OTHER CEREALS, OTHER THAN MAIZE (CORN)"
04723,PELLETS
04811,"CEREAL GRAINS; WORKED OR PREPARED, OBTAINED BY THE SWELLING OR ROASTING AND FROM UNROASTED FLAKES OR MIXTURES OF UNROASTED AND ROASTED OR SWELLED"
04812,"CEREAL GRAINS; WORKED OR PREPARED, OTHER THAN MAIZE (CORN), IN GRAIN FORM, PRECOOKED OR OTHERWISE PREPARED"
04813,"CEREAL GRAINS; WORKED OR PREPARED, OTHER ROLLED OR FLAKED CEREAL GRAINS, EXCEPT RICE OF SUBGROUP 042.3"
04814,"CEREAL GRAINS; WORKED OR PREPARED IN A MANNER, N.E.S IN SUBGROUP 048.1, EXCEPT RICE OF SUBGROUP 042.3"
04815,"GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND"
04820,"MALT; INCLUDING MALT FLOOR, WHETHER OR NOT ROASTED"
04830,"MACARONI, SPAGHETTI AND SIMILAR PRODUCTS (PASTA); UNCOOKED, NOT STUFFED OR OTHERWISE PREPARED"
04841,"CRISPBREAD, RUSKS, TOASTED BREAD AND SIMILAR PRODUCTS, WHETHER OR NOT CONTAINING COCOA"
04842,"SWEET BISCUITS, WAFFLES AND WAFERS, GINGERBREAD AND THE LIKE, WHETHER OR NOT CONTAINING COCOA"
04849,"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS' WARES; WHETHER OR NOT CONTAINING COCOA IN ANY PROPORTION; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCT"
04850,MIXES AND DOUGHS FOR THE PREPARATION OF BAKERS' WARES OF SUBGROUP 048.4
05410,"VEGETABLES; POTATOES (EXCLUDING SWEET POTATOES), FRESH OR CHILLED"
05421,"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, PEAS"
05422,"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, CHICK-PEAS"
05423,"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, BEANS, OTHER THAN BROAD BEANS AND HORSE BEANS"
05424,"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, LENTILS"
05425,"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, BROAD BEANS AND HORSE BEANS"
05429,"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, N.E.S. IN SUBGROUP 054.2"
05440,"VEGETABLES; TOMATOES, FRESH OR CHILLED"
05451,"VEGETABLES; ONIONS AND SHALLOTS, FRESH OR CHILLED"
05452,"VEGETABLES; GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED"
05453,"VEGETABLES; CABBAGE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED"
05454,"VEGETABLES; LETTUCE AND CHICORY (INCLUDING ENDIVE), FRESH OR CHILLED"
05455,"VEGETABLES; CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY, CELERIAC, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED"
05456,"VEGETABLES; CUCUMBERS AND GHERKINS, FRESH OR CHILLED"
05457,"VEGETABLES; LEGUMINOUS, FRESH OR CHILLED"
05458,"VEGETABLES; MUSHROOMS AND TRUFFLES, FRESH OR CHILLED"
05459,"VEGETABLES; N.E.S IN SUBGROUP 054.5, FRESH OR CHILLED"
05461,"VEGETABLES; UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, SWEET CORN"
05469,"VEGETABLES; UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, OTHER SWEET CORN, AND MIXTURES OF VEGETABLES"
05470,"VEGETABLES; PROVISIONALLY PRESERVED (E.G., BY SULPHUR DIOXIDE GAS, IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS), BUT UNSUITABLE IN THE STATE FOR IMMEDIATE CONSUMPTION"
05481,"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, MANIOC (CASSAVA)"
05483,"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, ARROWROOT, SALEP, JERUSALEM ARTICHOKES, SWEET POTATOES AND SIMILAR ROOTS AND TUBERS (OTHER THAN MANIOC) WITH HIGH STARCH OR INULIN CONTENT WHETHER OR NOT SLIC"
05484,"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, HOP CONES AND LUPULIN"
05487,"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH OR DRIED, SUGAR BEET, WHETHER OR NOT GROUND"
05489,"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, N.E.S IN SUBGROUP 054.8"
05612,"VEGETABLES; EXCLUDING LEGUMINOUS VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, ONIONS"
05613,"VEGETABLES; EXCLUDING LEGUMINOUS VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, MUSHROOMS, WOOD EARS, JELLY FUNGI AND TRUFFLES"
05619,"VEGETABLES; EXCLUDING LEGUMINOUS VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, N.E.S IN SUBGROUP 056.1; MIXTURES OF VEGETABLES"
05641,FLOUR AND MEAL; OF POTATOES
05642,"FLAKES, GRANULES AND PELLETS; OF POTATOES"
05645,"FLAKES, GRAINS, PEARLS, SIFTINS OR SIMILAR FORMS; TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH"
05646,FLOUR AND MEAL; OF THE DRIED LEGUMINOUS VEGETABLES OF SUBGROUP 054.2
05647,"FLOUR AND MEAL; OF SAGO, ROOTS OR TUBERS OF HEADINGS 054.81 AND 054.83"
05648,"FLOUR, MEAL AND POWDER; OF THE PRODUCTS OF ANY HEADING OF GROUP 057"
05661,"VEGETABLES; POTATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN"
05669,"VEGETABLES, OTHER THAN POTATOES AND MIXTURES OF VEGETABLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN"
05671,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS; PREPARED OR PRESERVED BY VINEGAR OR ACETIC"
05672,"VEGETABLES; TOMATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, WHOLE OR IN PIECES"
05673,"VEGETABLES; TOMATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, OTHER THAN WHOLE OR IN PIECES"
05674,MUSHROOMS AND TRUFFLES; PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID
05676,"VEGETABLES; POTATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN"
05677,"VEGETABLES; SWEET CORN, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
05679,"VEGETABLES; N.E.S IN SUBGROUP 056.7, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN"
05711,"FRUIS; ORANGES, FRESH OR DRIED"
05712,"FRUITS; MANDARINS (INCLUDING TANGERINES AND SATSUMAS); CLEMENTINES, WILKINGS AND SIMILAR CITRUS HYBRIDS, FRESH OR DRIED"
05721,"FRUITS; CITRUS, LEMONS AND LIMES, FRESH OR DRIED"
05722,"FRUITS; GRAPEFRUIT, FRESH OR DRIED"
05729,"FRUITS; CITRUS, N.E.S. IN SUBGROUP 057.2, FRESH OR DRIED"
05730,"FRUITS; BANANAS (INCLUDING PLANTAINS), FRESH OR DRIED"
05731,"BANANAS (INCLUDING PLANTAINS), FRESH OR DRIED"
05740,"FRUITS; APPLES, FRESH"
05751,"FRUITS; GRAPES, FRESH"
05752,"FRUITS; GRAPES, DRIED (E.G., RAISINS)"
05760,"FRUITS; FIGS, FRESH OR DRIED"
05771,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, COCONUTS"
05772,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, BRAZIL NUTS"
05773,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, CASHEW NUTS"
05774,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, ALMONDS"
05775,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, HAZELNUTS OR FILBERTS"
05776,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, WALNUTS"
05777,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, CHESTNUTS"
05778,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, PISTACHIOS"
05779,"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, N.E.S IN SUBGROUP 057.7"
05791,"FRUITS; MELONS (INCLUDING WATER MELONS) AND PAPAWS (PAPAYAS), FRESH"
05792,"FRUITS; PEARS AND QUINCES, FRESH"
05793,"FRUITS; APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS AND SLOES, FRESH"
05794,"FRUITS; STRAWBERRIES, RASPBERRIES, BLACKBERRIES, MULLBERRIES, LOGANBERRIES, CRANBERRIES, BILLBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH"
05795,"FRUITS; PINEAPPLES, FRESH OR DRIED"
05796,"FRUITS; DATES, FRESH OR DRIED"
05797,"AVOCADOS, GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED"
05798,"FRUITS; N.E.S IN SUBGROUP 057.9, FRESH"
05799,"FRUIT; DRIED, N.E.S. IN SUBGROUP 057.9, AND MIXTURES, N.E.S., OF NUTS OR DRIED FRUITS OF GROUP 057"
05810,"FRUITS PREPARATIONS; JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER, NOT INCLUDING HOMOGENIZED PREPARATIONS"
05821,"FRUIT AND NUTS; PROVISIONALLY PRESERVED (E.G., BY SULPHUR DIOXIDE GAS, IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS), BUT INSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION"
05822,"FRUITS; PEEL OF CITRUS FRUIT OR MELONS, FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVES SOLUTIONS"
05831,"FRUITS; STRAWBERRIES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
05832,"FRUITS; RASPBERRIES, BLACKBERRIES, MULBERRIES, LOGANBERRIES, BLACK, WHITE OR RED CURRANTS AND GOOSEBERRIES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
05839,"FRUITS (OTHER THAN SITC 058.31 AND 058.32) AND NUTS; UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
05892,"NUTS, GROUNDNUTS AND OTHER SEEDS, N.E.S., PREPARED OR PRESERVED, N.E.S. IN GROUP 058, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT"
05893,"FRUITS; PINEAPPLES, PREPARED OR PRESERVED, N.E.S. IN GROUP 058, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT"
05894,"FRUITS; CITRUS, PREPARED OR PRESERVED, N.E.S. IN GROUP 058, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT"
05895,"FRUITS; APRICOTS, CHERRIES AND PEACHES, PREPARED OR PRESERVED, N.E.S. IN GROUP 058, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT"
05896,"FRUITS OR EDIBLE PARTS OF PLANTS, N.E.S., PREPARED OR PRESERVED, N.E.S. IN GROUP 058, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT"
